GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US12001,12001,"Alachua County, Florida",259964,*****
0500000US12005,12005,"Bay County, Florida",181635,*****
0500000US12009,12009,"Brevard County, Florida",568088,*****
0500000US12011,12011,"Broward County, Florida",1896425,*****
0500000US12015,12015,"Charlotte County, Florida",173115,*****
0500000US12017,12017,"Citrus County, Florida",141058,*****
0500000US12019,12019,"Clay County, Florida",203967,*****
0500000US12021,12021,"Collier County, Florida",357305,*****
0500000US12023,12023,"Columbia County, Florida",68348,*****
0500000US12031,12031,"Duval County, Florida",913010,*****
0500000US12033,12033,"Escambia County, Florida",311003,*****
0500000US12035,12035,"Flagler County, Florida",105392,*****
0500000US12053,12053,"Hernando County, Florida",178439,*****
0500000US12055,12055,"Highlands County, Florida",99491,*****
0500000US12057,12057,"Hillsborough County, Florida",1349050,*****
0500000US12061,12061,"Indian River County, Florida",147919,*****
0500000US12069,12069,"Lake County, Florida",325875,*****
0500000US12071,12071,"Lee County, Florida",701982,*****
0500000US12073,12073,"Leon County, Florida",286272,*****
0500000US12081,12081,"Manatee County, Florida",363369,*****
0500000US12083,12083,"Marion County, Florida",343254,*****
0500000US12085,12085,"Martin County, Florida",156283,*****
0500000US12086,12086,"Miami-Dade County, Florida",2693117,*****
0500000US12087,12087,"Monroe County, Florida",77482,*****
0500000US12089,12089,"Nassau County, Florida",78444,*****
0500000US12091,12091,"Okaloosa County, Florida",198664,*****
0500000US12095,12095,"Orange County, Florida",1288126,*****
0500000US12097,12097,"Osceola County, Florida",323993,*****
0500000US12099,12099,"Palm Beach County, Florida",1422789,*****
0500000US12101,12101,"Pasco County, Florida",497909,*****
0500000US12103,12103,"Pinellas County, Florida",949827,*****
0500000US12105,12105,"Polk County, Florida",650092,*****
0500000US12107,12107,"Putnam County, Florida",72023,*****
0500000US12109,12109,"St. Johns County, Florida",226640,*****
0500000US12111,12111,"St. Lucie County, Florida",298563,*****
0500000US12113,12113,"Santa Rosa County, Florida",167040,*****
0500000US12115,12115,"Sarasota County, Florida",405549,*****
0500000US12117,12117,"Seminole County, Florida",449144,*****
0500000US12119,12119,"Sumter County, Florida",118891,*****
0500000US12127,12127,"Volusia County, Florida",517887,*****
